Model name, Author name, Author url, License, Model link,
destroyed buildings, gelmi.com.br, https://sketchfab.com/rodrigogelmi, CC Attribution, https://sketchfab.com/models/3fb7160b6d0c4350a0abc80962c47227,
destroyed buildings, gelmi.com.br, https://sketchfab.com/rodrigogelmi, Creative Commons Attribution, https://sketchfab.com/models/3fb7160b6d0c4350a0abc80962c47227,
